model,mode,difficulty,n,accuracy,format_ok,truncated,tokens,energy_j,wall_s,n_correct,j_per_token,j_per_correct,tokens_per_correct,tps,tps_per_mw,usd_per_task
mistral:latest,cot,hard,40,0.35,0.55,0.0,11157,13399.261745,296.7635,14,1.2009735363448955,957.0901246428572,796.9285714285714,37.59559379775477,832657.8144622997,0.006182572916666667
mistral:latest,cot,medium,40,0.625,0.75,0.0,8554,10604.636772999998,248.8879,25,1.2397284046060322,424.18547091999994,342.16,34.36888655495105,806628.287522206,0.005185164583333334
mistral:latest,direct,easy,40,0.2,0.95,0.0,745,1431.5818859999997,105.5578,8,1.9215864241610734,178.94773574999996,93.125,7.057744666902872,520403.34352204856,0.002199120833333333
mistral:latest,direct,hard,40,0.0,1.0,0.025,4863,6283.443984,181.5432,0,1.2920921209130165,,,26.787012677974165,773938.6254390136,0.00378215
mistral:latest,direct,medium,40,0.1,1.0,0.0,2193,3188.1628389999996,132.1597,4,1.4537906242590057,797.0407097499999,548.25,16.593560669402247,687856.9604957371,0.002753327083333333
qwen2.5:0.5b,cot,easy,42,0.5952380952380952,0.16666666666666666,0.0,11342,1840.1771589999996,133.6957,25,0.16224450352671482,73.60708635999998,453.68,84.83444119743568,6163536.996711522,0.00265269246031746
qwen2.5:0.5b,cot,hard,43,0.11627906976744186,0.16279069767441862,0.0,16220,2179.385692,150.2316,5,0.13436409938347718,435.8771384,3244.0,107.96663285220953,7442464.204266236,0.00291146511627907
qwen2.5:0.5b,cot,medium,46,0.3695652173913043,0.10869565217391304,0.06521739130434782,17417,2527.5419629999997,161.2249,17,0.14511924918183383,148.67893899999999,1024.5294117647059,108.02921881173442,6890884.604474518,0.002920740942028985
qwen2.5:0.5b,direct,easy,43,0.18604651162790697,0.16279069767441862,0.0,2534,917.0877609999998,108.0203,8,0.361913086424625,114.63597012499997,316.75,23.458553623717023,2763094.3381437194,0.0020934166666666666
qwen2.5:0.5b,direct,hard,43,0.06976744186046512,0.09302325581395349,0.046511627906976744,5869,1197.4255189999997,117.9237,3,0.20402547606065763,399.14183966666656,1956.3333333333333,49.76946958075434,4901348.690899247,0.0022853430232558135
qwen2.5:0.5b,direct,medium,48,0.14583333333333334,0.10416666666666667,0.041666666666666664,7095,1522.4094959999995,133.1608,7,0.21457498181818174,217.48707085714278,1013.5714285714286,53.281446191371636,4660375.555093097,0.0023118194444444445
qwen2.5:1.5b,cot,easy,40,0.725,0.825,0.0,6609,2470.5261229999996,133.4929,29,0.37381239567256763,85.19055596551723,227.89655172413794,49.50825100061502,2675138.6834050496,0.002781102083333333
qwen2.5:1.5b,cot,hard,40,0.525,0.9,0.05,11432,3832.001078,159.7394,21,0.3351995344646606,182.4762418095238,544.3809523809524,71.56656404118208,2983297.699375021,0.003327904166666666
qwen2.5:1.5b,cot,medium,40,0.575,0.85,0.0,8560,3015.4533779999997,143.8294,23,0.35227259088785046,131.10666860869563,372.17391304347825,59.51495313197441,2838710.7764463006,0.0029964458333333333
qwen2.5:1.5b,direct,easy,40,0.175,0.55,0.0,424,734.9179519999997,98.3296,7,1.7332970566037729,104.98827885714282,60.57142857142857,4.312028117677688,576935.151531038,0.0020485333333333335
qwen2.5:1.5b,direct,hard,40,0.075,0.7,0.0,823,858.4354119999997,99.6876,3,1.0430563936816521,286.14513733333325,274.3333333333333,8.255791091369439,958720.9340334161,0.002076825
qwen2.5:1.5b,direct,medium,40,0.025,0.45,0.0,555,730.9588629999997,98.8949,1,1.3170429963963959,730.9588629999997,555.0,5.612018415509798,759276.6543963503,0.0020603104166666665
qwen2.5:3b,cot,easy,40,0.9,1.0,0.0,10045,6233.419988,188.0324,36,0.6205495259333002,173.1505552222222,279.02777777777777,53.42164435490905,1611474.9237718137,0.003917341666666667
qwen2.5:3b,cot,hard,40,0.675,0.975,0.0,13842,8475.957977999999,222.7094,27,0.6123362214997832,313.92436955555553,512.6666666666666,62.15274254252403,1633089.7387561356,0.004639779166666666
qwen2.5:3b,cot,medium,40,0.875,1.0,0.0,12196,7399.025449999999,206.435,35,0.6066764061987536,211.4007271428571,348.45714285714286,59.079129023663626,1648325.1858526857,0.004300729166666667
qwen2.5:3b,direct,easy,40,0.4,1.0,0.0,320,857.5891259999996,99.7098,16,2.6799660187499987,53.59932037499998,20.0,3.2093134275667987,373139.05960136926,0.0020772875000000003
qwen2.5:3b,direct,hard,40,0.15,1.0,0.0,296,811.4143099999997,99.613,6,2.7412645608108095,135.23571833333327,49.333333333333336,2.971499703853915,364795.1439259189,0.002075270833333333
qwen2.5:3b,direct,medium,40,0.025,1.0,0.0,306,808.1359469999998,99.3681,1,2.6409671470588227,808.1359469999998,306.0,3.0794591020659547,378649.1630968125,0.00207016875
qwen2.5:7b,cot,easy,40,0.925,1.0,0.0,8575,10687.303574,257.1002,37,1.2463327783090379,288.8460425405405,231.75675675675674,33.35275507370279,802353.9277822335,0.005356254166666666
qwen2.5:7b,cot,hard,40,0.825,1.0,0.0,12904,15837.366397999998,337.9754,33,1.2273222565096094,479.9201938787878,391.030303030303,38.18029359533268,814781.9325332756,0.007041154166666666
qwen2.5:7b,cot,medium,40,0.825,1.0,0.0,10582,13045.726507,295.35609999999997,33,1.2328223877338877,395.32504566666665,320.6666666666667,35.82793786889792,811146.8529040504,0.006153252083333333
qwen2.5:7b,direct,easy,40,0.275,0.775,0.0,329,1415.1151379999997,103.6774,11,4.301261817629178,128.6468307272727,29.90909090909091,3.1733048861179003,232489.91630813864,0.0021599458333333337
qwen2.5:7b,direct,hard,40,0.05,0.8,0.0,343,1466.3976359999997,104.1828,2,4.275211766763848,733.1988179999998,171.5,3.2922900901108436,233906.54184060622,0.002170475
qwen2.5:7b,direct,medium,40,0.05,0.75,0.0,320,1374.7695439999995,103.8312,2,4.296154824999999,687.3847719999998,160.0,3.0819252787216174,232766.28537240866,0.00216315
